Player,Pass Yds,Yds/Att,Att_x,Cmp,Cmp %,TD_x,INT,Rate,1st,1st%_x,20+_x,40+_x,Lng_x,Sck,SckY,Rush Yds,Att_y,TD_y,20+_y,40+_y,Lng_y,Rush 1st,Rush 1st%,Rush FUM,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%_y,Rec FUM,Rec YAC/R,Tgts
Nate Adkins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,34,2,0,0,12,2,33.3,0,13,7
Nelson Agholor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,205,2,4,1,56,9,69.2,0,83,26
Nick Chubb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,73,3,0,0,15,13,17.8,0,3,7,0,0,0,10,1,33.3,0,7,7
Nick Mullens,38,19,2,2,100,0,0,118.8,2,100,1,0,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Vannett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,84,2,1,0,24,4,36.4,0,60,13
Nick Westbrook-Ikhine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,304,6,3,1,98,13,76.5,0,92,30
Nico Collins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,713,4,10,3,67,32,78,0,256,61
Noah Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,426,1,4,1,52,20,62.5,0,79,52
Noah Fant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,285,0,2,0,28,15,55.6,0,139,32
Noah Gray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,315,4,4,0,35,20,74.1,0,154,30
Odell Beckham Jr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,45,0,0,0,11,2,28.6,0,12,15
Olamide Zaccheaus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,250,0,2,1,42,14,58.3,0,151,35
Parker Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,118,0,1,0,23,6,60,0,14,18
Parris Campbell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,30,1,0,0,7,1,16.7,0,9,7
Pat Freiermuth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,354,3,4,0,30,19,54.3,1,176,40
Patrick Mahomes,2673,7,381,266,69.8,18,11,93.2,148,38.8,28,3,54,27,182,227,44,1,2,0,33,17,38.6,1,1,2,0,0,0,2,0,0,0,3,1
Patrick Ricard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,0,0,5,1,50,0,5,4
Patrick Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,7,0,0,0,6,1,14.3,0,1,12,0,0,0,12,1,100,0,9,1
Payne Durham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,34,0,1,0,26,1,50,0,6,2
Peyton Hendershot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,0,0,0,11,1,33.3,0,15,3
Pharaoh Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,38,0,0,0,13,1,20,0,19,7
Pierre Strong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,19,0,0,0,14,4,21,0,7,77,0,2,0,21,3,42.9,0,95,13
Puka Nacua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,7,0,0,0,37,490,1,6,0,37,25,67.6,0,227,53
Quentin Johnston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,4,0,0,0,22,354,6,7,1,66,14,63.6,0,162,42
Quintin Morris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2,1,100,0,0,2
Rachaad White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,92,2,1,1,56,18,19.6,1,38,301,4,3,0,32,14,36.8,0,393,42
Raheem Mostert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,60,2,0,0,18,11,18.3,2,10,102,0,1,0,25,7,70,0,94,13
